"conc_r","conc_c","response","synergy_zip","synergy_loewe","synergy_bliss","synergy_hsa","block_id","drug_row","drug_col","conc_r_unit","conc_c_unit"
3.25,5.5,28.295,6.47,10.51,13.204,14.764,1,"5-FU","ABT-888","uM","uM"
5.5,5.5,34.893,6.711,10.907,13.1,14.67,1,"5-FU","ABT-888","uM","uM"
7.75,5.5,41.212,6.807,10.701,12.309,13.725,1,"5-FU","ABT-888","uM","uM"
10,5.5,46.641,6.277,10.233,11.285,12.521,1,"5-FU","ABT-888","uM","uM"
0,7.75,3.032,0.301,-0.186,-0.223,-0.265,1,"5-FU","ABT-888","uM","uM"
0.1166667,7.75,6.653,4.112,3.111,3.372,3.316,1,"5-FU","ABT-888","uM","uM"
0.2333333,7.75,10.403,8.098,6.476,7.163,7.113,1,"5-FU","ABT-888","uM","uM"
0.35,7.75,12.981,10.472,8.566,9.845,9.868,1,"5-FU","ABT-888","uM","uM"
0.5933333,7.75,13.292,9.949,8.239,10.308,10.528,1,"5-FU","ABT-888","uM","uM"
0.8366667,7.75,12.969,7.827,6.864,9.769,10.295,1,"5-FU","ABT-888","uM","uM"
1.08,7.75,14.239,5.922,6.355,9.856,10.848,1,"5-FU","ABT-888","uM","uM"
1.8033333,7.75,18.791,5.395,8.18,11.774,13.455,1,"5-FU","ABT-888","uM","uM"
2.5266667,7.75,25.406,5.746,11.059,14.386,16.802,1,"5-FU","ABT-888","uM","uM"
3.25,7.75,32.293,6.226,13.126,15.937,18.831,1,"5-FU","ABT-888","uM","uM"
5.5,7.75,38.07,6.427,13.031,15.096,17.941,1,"5-FU","ABT-888","uM","uM"
7.75,7.75,43.017,6.166,11.751,12.965,15.507,1,"5-FU","ABT-888","uM","uM"
10,7.75,47.324,5.329,10.442,10.912,13.151,1,"5-FU","ABT-888","uM","uM"
0,10,4.747,0,0,0,0,1,"5-FU","ABT-888","uM","uM"
0.1166667,10,9.155,4.184,4.015,4.399,4.393,1,"5-FU","ABT-888","uM","uM"
0.2333333,10,13.939,8.509,8.29,9.172,9.178,1,"5-FU","ABT-888","uM","uM"
0.35,10,17.837,11.539,11.496,13.011,13.089,1,"5-FU","ABT-888","uM","uM"
0.5933333,10,16.69,10.275,9.61,12.03,12.377,1,"5-FU","ABT-888","uM","uM"
0.8366667,10,15.042,7.692,6.788,10.154,10.866,1,"5-FU","ABT-888","uM","uM"
1.08,10,15.005,5.225,4.927,9.031,10.257,1,"5-FU","ABT-888","uM","uM"
1.8033333,10,20.716,4.964,8.048,12,14.206,1,"5-FU","ABT-888","uM","uM"
2.5266667,10,28.24,5.252,12.148,15.64,18.904,1,"5-FU","ABT-888","uM","uM"
3.25,10,35.842,5.505,15.43,18.262,22.373,1,"5-FU","ABT-888","uM","uM"
5.5,10,40.458,5.498,14.462,16.364,20.269,1,"5-FU","ABT-888","uM","uM"
7.75,10,44.316,4.952,12.424,13.295,16.795,1,"5-FU","ABT-888","uM","uM"
10,10,47.757,3.896,10.417,10.345,13.467,1,"5-FU","ABT-888","uM","uM"
0,0,-0.001,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
0.1166667,0,-0.365,0.052,-0.295,-0.261,-0.264,2,"5-FU","AZD1775","uM","uM"
0.2333333,0,-0.394,0,-0.357,-0.341,-0.346,2,"5-FU","AZD1775","uM","uM"
0.35,0,0.078,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
0.5933333,0,0.238,0.286,0.326,0.273,0.273,2,"5-FU","AZD1775","uM","uM"
0.8366667,0,0.559,0.312,0.419,0.362,0.363,2,"5-FU","AZD1775","uM","uM"
1.08,0,1.284,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
1.8033333,0,4.986,0.504,0.7,0.785,0.793,2,"5-FU","AZD1775","uM","uM"
2.5266667,0,8.994,0.477,0.623,0.713,0.723,2,"5-FU","AZD1775","uM","uM"
3.25,0,13.469,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
5.5,0,20.375,0.439,-0.147,0.04,-0.039,2,"5-FU","AZD1775","uM","uM"
7.75,0,27.703,0.513,-0.13,0.091,-0.006,2,"5-FU","AZD1775","uM","uM"
10,0,34.29,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
0,0.0108333,0.212,0.265,0.087,0.091,0.098,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.0108333,-0.107,0.784,-0.206,-0.093,-0.081,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.0108333,0.012,1.327,-0.139,0.008,0.027,2,"5-FU","AZD1775","uM","uM"
0.35,0.0108333,1.056,2.122,0.844,1.036,1.077,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.0108333,2.942,3.188,2.746,3.024,3.1,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.0108333,5.393,4.195,4.816,5.254,5.372,2,"5-FU","AZD1775","uM","uM"
1.08,0.0108333,8.077,4.85,6.023,6.73,6.881,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.0108333,11.151,5.16,6.026,7.086,7.241,2,"5-FU","AZD1775","uM","uM"
2.5266667,0.0108333,14.383,4.945,4.865,6.181,6.305,2,"5-FU","AZD1775","uM","uM"
3.25,0.0108333,18.458,4.445,3.368,4.743,4.798,2,"5-FU","AZD1775","uM","uM"
5.5,0.0108333,24.181,4.104,2.349,3.632,3.599,2,"5-FU","AZD1775","uM","uM"
7.75,0.0108333,30.663,3.672,1.88,2.804,2.753,2,"5-FU","AZD1775","uM","uM"
10,0.0108333,36.435,2.781,1.773,2.038,2.11,2,"5-FU","AZD1775","uM","uM"
0,0.0216667,0.335,0.241,0.049,0.036,0.04,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.0216667,-0.247,1.113,-0.482,-0.321,-0.309,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.0216667,-0.169,2.267,-0.571,-0.301,-0.276,2,"5-FU","AZD1775","uM","uM"
0.35,0.0216667,1.597,3.902,0.949,1.367,1.434,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.0216667,5.648,5.944,4.843,5.549,5.697,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.0216667,11.134,8.238,9.72,10.795,11.052,2,"5-FU","AZD1775","uM","uM"
1.08,0.0216667,16.1,9.93,12.905,14.498,14.848,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.0216667,18.584,9.986,11.99,14.356,14.723,2,"5-FU","AZD1775","uM","uM"
2.5266667,0.0216667,20.476,9.335,9.151,12.134,12.442,2,"5-FU","AZD1775","uM","uM"
3.25,0.0216667,23.476,8.479,6.45,9.573,9.765,2,"5-FU","AZD1775","uM","uM"
5.5,0.0216667,27.958,7.2,4.609,7.318,7.385,2,"5-FU","AZD1775","uM","uM"
7.75,0.0216667,33.342,6.184,3.738,5.502,5.538,2,"5-FU","AZD1775","uM","uM"
10,0.0216667,38.445,5.016,3.505,4.02,4.216,2,"5-FU","AZD1775","uM","uM"
0,0.0325,0.601,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.0325,-0.483,0.971,-0.925,-0.662,-0.656,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.0325,-0.513,2.411,-1.297,-0.808,-0.783,2,"5-FU","AZD1775","uM","uM"
0.35,0.0325,1.612,4.69,0.164,0.932,1.011,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.0325,7.595,7.442,5.86,7.233,7.442,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.0325,15.502,10.816,12.905,14.927,15.321,2,"5-FU","AZD1775","uM","uM"
1.08,0.0325,23.208,13.759,18.602,21.33,21.924,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.0325,24.399,12.934,15.9,19.964,20.63,2,"5-FU","AZD1775","uM","uM"
