cellosaurus_accession,id
CVCL_1391,868
CVCL_1392,869
CVCL_1393,870
CVCL_2582,871
CVCL_1394,872
CVCL_D085,873
CVCL_2106,874
CVCL_S808,875
CVCL_0400,876
CVCL_0401,877
CVCL_S675,878
CVCL_4571,879
CVCL_1396,880
CVCL_1397,881
CVCL_1399,882
CVCL_3020,883
CVCL_2583,884
CVCL_2585,885
CVCL_0598,886
CVCL_3633,887
CVCL_3744,888
CVCL_9579,889
CVCL_5552,890
CVCL_0617,891
CVCL_0618,892
CVCL_1400,893
CVCL_0062,894
CVCL_0619,895
CVCL_0620,896
CVCL_0621,897
CVCL_0418,898
CVCL_4748,899
CVCL_2588,900
CVCL_2110,901
CVCL_1401,902
CVCL_1870,903
CVCL_1871,904
CVCL_0425,905
CVCL_C694,906
CVCL_1402,907
CVCL_1403,908
CVCL_0V14,909
CVCL_1404,910
CVCL_VS57,911
CVCL_0445,912
CVCL_1405,913
CVCL_1406,914
CVCL_2112,915
CVCL_1407,916
CVCL_1408,917
CVCL_0426,918
CVCL_1409,919
CVCL_0089,920
CVCL_1410,921
CVCL_1411,922
CVCL_1412,923
CVCL_1413,924
CVCL_0428,925
CVCL_1872,926
CVCL_1414,927
CVCL_EQ71,928
CVCL_D027,929
CVCL_1415,930
CVCL_1416,931
CVCL_0434,932
CVCL_1417,933
CVCL_2791,934
CVCL_H525,935
CVCL_1418,936
CVCL_1419,937
CVCL_8792,938
CVCL_1420,939
CVCL_1421,940
CVCL_1439,941
CVCL_2613,942
CVCL_2614,943
CVCL_2119,944
CVCL_2120,945
CVCL_2122,946
CVCL_2123,947
CVCL_2124,948
CVCL_1422,949
CVCL_1424,950
CVCL_0624,951
CVCL_1425,952
CVCL_1426,953
CVCL_2618,954
CVCL_2620,955
CVCL_2127,956
CVCL_1427,957
CVCL_1428,958
CVCL_1429,959
CVCL_4996,960
CVCL_2129,961
CVCL_1433,962
CVCL_1873,963
CVCL_0064,964
CVCL_4774,965
CVCL_3035,966
CVCL_1435,967
CVCL_1436,968
CVCL_1434,969
CVCL_0091,970
CVCL_1835,971
CVCL_0092,972
CVCL_0067,973
CVCL_3041,974
CVCL_1440,975
CVCL_0005,976
CVCL_1448,977
CVCL_1450,978
CVCL_1451,979
CVCL_3055,980
CVCL_X505,981
CVCL_X506,982
CVCL_N739,983
CVCL_N740,984
CVCL_N741,985
CVCL_N742,986
CVCL_N743,987
CVCL_N744,988
CVCL_N746,989
CVCL_N747,990
CVCL_N748,991
CVCL_N749,992
CVCL_N750,993
CVCL_N723,994
CVCL_0V15,995
CVCL_N727,996
CVCL_N729,997
CVCL_N731,998
CVCL_N735,999
CVCL_N736,1000
CVCL_1453,1001
CVCL_1454,1002
CVCL_1455,1003
CVCL_1456,1004
CVCL_1458,1005
CVCL_1460,1006
CVCL_0060,1007
CVCL_1462,1008
CVCL_A472,1009
CVCL_1463,1010
CVCL_1464,1011
CVCL_1465,1012
CVCL_1466,1013
CVCL_1467,1014
CVCL_1468,1015
CVCL_1469,1016
CVCL_1470,1017
CVCL_1471,1018
CVCL_1472,1019
CVCL_1473,1020
CVCL_1474,1021
CVCL_1475,1022
CVCL_1476,1023
CVCL_1478,1024
CVCL_1479,1025
CVCL_1480,1026
CVCL_1481,1027
CVCL_1482,1028
CVCL_1484,1029
CVCL_1485,1030
CVCL_1487,1031
CVCL_1488,1032
CVCL_1489,1033
CVCL_1490,1034
CVCL_1491,1035
CVCL_1492,1036
CVCL_1493,1037
CVCL_1494,1038
CVCL_1495,1039
CVCL_1496,1040
CVCL_1498,1041
CVCL_1499,1042
CVCL_1500,1043
CVCL_1501,1044
CVCL_1503,1045
CVCL_1504,1046
CVCL_1505,1047
CVCL_1506,1048
CVCL_1507,1049
CVCL_1508,1050
CVCL_1509,1051
CVCL_1510,1052
CVCL_1511,1053
CVCL_1512,1054
CVCL_1514,1055
CVCL_1515,1056
CVCL_1516,1057
CVCL_1517,1058
CVCL_1518,1059
CVCL_1520,1060
CVCL_1521,1061
CVCL_1522,1062
CVCL_1523,1063
CVCL_1524,1064
CVCL_1525,1065
CVCL_1526,1066
CVCL_1527,1067
CVCL_1529,1068
CVCL_1530,1069
CVCL_1532,1070
CVCL_1533,1071
CVCL_1534,1072
CVCL_1535,1073
CVCL_1536,1074
CVCL_1537,1075
CVCL_1539,1076
CVCL_1540,1077
CVCL_1541,1078
CVCL_1542,1079
CVCL_1543,1080
CVCL_1545,1081
CVCL_1546,1082
CVCL_1549,1083
CVCL_1550,1084
CVCL_A532,1085
